SUPPLIER_NAME,ITEM_NAME,CERTIFICATIONS
Pepperl+Fuchs Factory Automation Pvt. Ltd,robotics arm,"US, Canada, Europe"
PHOENIX CONTACT INDIA PVT LTD,hydraulic actuator,Global Certification
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,frequency inverter,"US, Canada, Europe"
EVOKE GLOBAL,servo amplifier,Global Certification
KUDAMM CORPORATION,DC motor,Global Certification
"SHANGHAI QUISURE INFO-TECH CO.,LTD",current transformer,"Australia, India"
Kinco ElectricShenzhenLtd.,HMI panel,"Australia, India"
Diagnostic Automation & Controls Pvt. Ltd.,relay,"Australia, India"
"ITOH DENKI CO., LTD.",VFD drive,Global Certification
SICK INDIA Pvt. Ltd.,control cable,"US, Canada, Europe"
Technovision Enterprises,encoder,"Australia, India"
RAJPRIYA INSTRUMENTS & CONTROLS,pneumatic actuator,"Australia, India"
CONDUCTIX-WAMPFLER INDIA PVT LTD,thermal relay,"Australia, India"
ASTronics Technology (I) Pvt Ltd,switch,"US, Canada, Europe"
SM Electronic Technologies Pvt. Ltd,robotic gripper,Global Certification
Social Sea India Pvt Ltd,brush motor,Global Certification
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,machine vision camera,"Europe, Asia"
IGUS INDIA PRIVATE LIMITED,transformer,Global Certification
EVOKE GLOBAL,transformer,"Europe, Asia"
EVOKE GLOBAL,stepper motor,"Australia, India"
iTG Software Engineering (I) Pvt. Ltd,infrared camera,"Australia, India"
FINE TECH CONTROLS PRIVATE LIMITED,HMI panel,"US, Canada, Europe"
EVOKE GLOBAL,stepper controller,"Australia, India"
SUGI ELECTRONICS LLP,industrial camera,"Australia, India"
Pepperl+Fuchs Factory Automation Pvt. Ltd,AC motor,"US, Canada, Europe"
COGNEX IRELAND LTD,VFD drive,Global Certification
IGUS INDIA PRIVATE LIMITED,stepper controller,"US, Canada, Europe"
TAC Automation Pvt.Ltd- UP,DC motor,"Australia, India"
Leuze Electronics Pvt. Ltd.,stepper controller,Global Certification
SEW EURODRIVE INDIA P LTD,linear actuator,Global Certification
RITTAL INDIA PRIVATE LIMITED,PLC,"Europe, Asia"
FINE TECH CONTROLS PRIVATE LIMITED,temperature controller,"Europe, Asia"
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,solenoid valve,"US, Canada, Europe"
