,PART_ID,PART_NAME,PART_DESCRIPTION,PART_OWNER,PART_REVISION,REVISION_DATE,PRODUCT_GROUP,PRODUCT_SUBGROUP,WIDTH_(MM),HEIGHT_(MM),DEPTH_(MM),MOUNTING_CLEARANCES_(MM),WEIGHT_(KG),MANUFACTURER,MANUFACTURER_PART_NUMBER,EPLAN_PART_NUMBER,OLD_PLM_ID,OLD_SAP_ID,RELEASED_STATUS,RELEASED_DATE,PART_CATEGORY,PART_ID_CLEANED
0,10071,10071,,HIMANSHU MEHTA (HIMANSHUMEHTA),0,16-APR-2024 15:45,,,,,,,,,,,,,,,ELECTRICAL PART,10071
1,14730,MOTOR,"100W, 24VDC BLDC MOTOR, 90MM FRAME, 2500RPM,6A RATED CURRENT, 9.8A MAX CURRENT, 3.6NM RATED TORQUE.",KUMARI MONIKA (KUMARIMONIKA),0,13-OCT-2022 20:20,9.0,1.0,0.0,0.0,0.0,,0.0,ORIENTAL,BLHM5100K-GFS,ORM.BLHM5100K-GFS,,,PRODUCTION,18-JAN-2023 20:06,ELECTRICAL PART,14730
2,14857,"CABLE,M8 RIGHT ANGLED TO FREE LEADS,2M","SENSOR/ACTUATOR CABLE, 3-POSITION, PVC, YELLOW, FREE CABLE END, ON SOCKET ANGLED M8, CABLE LENGTH: 2 M",KUMARI MONIKA (KUMARIMONIKA),0,18-OCT-2022 11:35,29.0,184.0,0.0,0.0,0.0,,0.0,PHEONIX.C,1406321,PXC.1406321,,,,,ELECTRICAL PART,14857
3,14858,CONNECTOR,"CONNECTOR, UNIVERSAL, 5-POSITION, UNSHIELDED, SOCKET STRAIGHT M12, A-CODED, PUSH-LOCK SPRING CONNECTION.",KUMARI MONIKA (KUMARIMONIKA),0,18-OCT-2022 11:35,4.0,215.0,0.0,0.0,0.0,,0.0,PHEONIX.C,1424689,PXC.1424689,,,PRODUCTION,13-JUL-2024 21:11,ELECTRICAL PART,14858
4,14859,"AIL ADAPTER FOR M3 SCREWS,,BLACK","WIDTH10 MM, HEIGHT19 MM, LENGTH42.6 MM",KUMARI MONIKA (KUMARIMONIKA),0,18-OCT-2022 11:35,17.0,1.0,0.0,0.0,0.0,,0.0,PHEONIX.C,1200993,PXC.1200993,,,,,ELECTRICAL PART,14859
5,14860,DISTRIBUTION BLOCK,,KUMARI MONIKA (KUMARIMONIKA),0,18-OCT-2022 11:35,3.0,4.0,0.0,0.0,0.0,,0.0,PHEONIX.C,3273224,PXC.3273224,,,PRODUCTION,21-SEP-2024 11:01,ELECTRICAL PART,14860
6,14861,DISTRIBUTION BLOCK,,KUMARI MONIKA (KUMARIMONIKA),0,18-OCT-2022 11:35,3.0,4.0,0.0,0.0,0.0,,0.0,PHEONIX.C,3273234,PXC.3273234,,,PRODUCTION,21-SEP-2024 11:01,ELECTRICAL PART,14861
7,14862,DISTRIBUTION BLOCK,"PTFIX 6/12X2,5-NS35A YE 3273226 PHOENIX CONTACT DISTRIBUTION BLOCK",KUMARI MONIKA (KUMARIMONIKA),0,18-OCT-2022 11:35,3.0,4.0,0.0,0.0,0.0,,0.0,PHEONIX.C,3273226,PXC.3273226,,,,,ELECTRICAL PART,14862
8,14863,DISTRIBUTION BLOCK,,KUMARI MONIKA (KUMARIMONIKA),0,18-OCT-2022 11:35,3.0,4.0,0.0,0.0,0.0,,0.0,PHEONIX.C,3273222,PXC.3273222,,,,,ELECTRICAL PART,14863
9,14864,SLIP-ON SLEEVE,"SLIP-ON SLEEVE, FULLY ISOLATED, BLUE, 1.5 ... 2.5 MM2, FOR PLUG 6.3 X 0.8MM",KUMARI MONIKA (KUMARIMONIKA),0,18-OCT-2022 11:35,29.0,1.0,0.0,0.0,0.0,,0.0,PHEONIX.C,3240547,PXC.3240547,,,,,ELECTRICAL PART,14864
10,14865,POWER CONTACT INSERT MODULE,"CONTACT INSERT MODULE, NUMBER OF POSITIONS: 2, POWER CONTACTS: 2, CONTROL CONTACTS: 0, SOCKET, AXIAL SCREW CONNECTION, 1000 V",KUMARI MONIKA (KUMARIMONIKA),0,18-OCT-2022 11:35,1.0,1.0,0.0,0.0,0.0,,0.0,PHEONIX.C,1417390,PXC.1417390,,,PRODUCTION,10-JAN-2023 19:01,ELECTRICAL PART,14865
