,ITEM_CODE,ITEM_NAME
0,14730,MOTOR
1,14858,"CONNECTOR,PLUG,M12,A CODED,5 CIRCUITS"
2,14866,"BLADE RECEPTACLES L-RB 63 H,PANEL CONNECTOR SUITABLE CRIMP-INSERT: PEW 12.060 PANEL CONNECTOR TYPE: BLADE RECEPTACLE (TYPE H) FOR CROSS-SECTION (MIN./MAX.: 1.5MM<POW2> - 2.5MM<POW2> BLUE BRASS TIN-PLATED"
3,14868,4 CORE 6.3MM HIGHLY FLEXIBLE CONTROL CABLE WITH PVC CORE INSULATION AND ABRASION AND OIL RESISTANT PUR SHEATH
4,14869,WIRE
5,14870,WIRE
6,14872,WIRE
7,14873,WIRE
8,14877,"PLUG,4X4,8 CIRCUITS,BLACK"
9,14878,CONNECTOR
10,14879,"MICRO-FIT 3.0 CRIMP TERMINAL, MALE, WITH TIN (SN) PLATED PHOSPHOR BRONZE CONTACT, 20-24 AWG, BAG"
11,14881,BLUE WIRE/CABLE
12,14884,ISOLATOR SWITCH
13,14885,DIGITAL LINE MONITORING RELAY 3-PHASE 3-WIRE OR 3-PHASE 4-WIRE 2 CHANGEOVER 280-520 V AC (L-L) 160-300 V AC (L-N) SELF POWERED 35 MM MODULE
14,14891,GREY WIRE/CABLE
15,14893,BUS CABLE
16,14894,CAT5E CABLE
17,14895,DRAGCHAIN CABLE
18,14896,4 PAIR: CAT6 CABLE
19,14897,HOOK-UP WIRE
20,14901,ETHERNET CABLE
21,14906,DATA INTERFACE FRONT PLATE
22,14911,COMMUNICATION BOARD
23,14914,WIFI
24,14915,CONDUCTOR END SLEEVE
25,14917,RING LUGS
26,14918,RING LUGS 1.5-2.5SQMM
27,14919,LUGS
28,14920,"LAPP UNITRONIC<REGISTERED> LIYY DATA, SIGNAL & CONTROL CABLE - 24 AWG/4 CONDUCTOR - GRAY (4 X 0.25)"
29,14925,ANTENNA CABLE
30,14928,"SIDE ELEMENT WITH FOOT, 5 MM WIDE (RIGHT), FOR MOUNTING ON NS 32 OR NS 35/7.5. PCB WIDTH: 107.5 MM"
31,14934,PRE FAB CABLE-5MM12RJ45STRAIGHTSHIELDED
32,14938,DC DC CONVERTOR
33,14939,END COVER
34,14943,MARSHALLING PANEL
35,14945,SPACER PLATE
36,14947,DC DC CONVERTOR
37,14949,FUSE PLUG
38,14952,END COVER
39,14953,DISCONNECT TERMINAL BLOCK
40,14954,END CLAMP
41,14961,CIRCUIT BREAKER
42,14966,CIRCUIT BREAKER
43,14971,WIFI ACCESS POINT
44,14972,POWER SPLITTER
45,14973,ANTENNA
46,14974,"HERNET FASTCONNECT M12 PLUG PRO 2X2 M12 PLUG-IN CONNECTOR WITH RUGGED METAL ENCLOSURE AND FC CONNECTION METHOD, WITH AXIAL CABLE OUTLET (D-CODED) 1 PACK=1 UNIT FOR SCALANCE X208 PRO AND ET 200 PRO PN."
47,14975,CABLE CONNECTOR
48,14976,CONNECTOR-RJ45
49,14977,ETHERNET CABLE
50,14978,FORK LUGS 0.25-0.75 MM
51,14979,CAT.5E CABLE
52,14980,RED WIRE/CABLE 2.5 SQ MM
53,14981,BLACK WIRE/CABLE 2.5 SQ MM
54,14982,GREEN YELLOW WIRE/CABLE 2.5 SQ MM
55,14983,DARK BLUE WIRE/CABLE 0.75 SQMM
56,14984,WHITE WIRE/CABLE 0.75 SQMM
57,14985,LUGS
58,14986,LUGS
59,14987,LUGS
60,14988,TERMINAL BLOCK
61,14996,HOUSING-1 CABLE OUTLET M1
62,14998,ETHERNET SWITCH
63,15001,": 500 V, NOMINAL CURRENT: 22 A, CONNECTION METHOD: PUSH-IN CONNECTION, 1ST AND 2ND LEVEL, RATED CROSS SECTION: 2.5 MM2, CROSS SECTION: 0.14 MM2 - 4 MM2, MOUNTING TYPE: NS 35/7,5, NS 35/15, COLOR: GRAY"
64,15002,PLUG-IN BRIDGE
65,15003,NETWORK CABLE
66,15004,CABLE
67,15005,MODULE COVER
68,15006,SINAMICS REACTOR 380-480V 3AC 47-63HZ I_LN=11.3 A STAND-ALONE
69,15008,WIFI CLIENT
70,15009,INTERFACE MODULE
71,15010,SIGNAL CONNECTOR
72,15011,YELLOW WIRE/CABLE 0.75 SQMM
73,15012,BLUE WIRE/CABLE 2.5 SQMM
74,15019,LUGS
75,15020,POWER AND CONTROL CABLE 12X0.5 12.4 MM
76,15023,35 MM RING LUGS
77,15024,GREY CABLE 0.5 SQMM
78,15026,CABLE-4G X 25MM2GREYCUFLEXIBLE
79,15030,WIRE
80,15031,WIRE
81,15034,CLASSIC 100 0.75 SQMM TRIPLE CORE PVC CONTROL CABLE
82,15035,FLEXIBLE POWER AND CONTROL CABLE
83,15036,"TURES A DIE-CAST ZINC HOUSING, SUPPORTS 10 GIG ETHERNET, CONFORMS TO IEC 60603-7-51 AND IS SUITABLE FOR PROFINET<REGISTERED> APPLICATIONS. LAPP 21700601 IS COLOR CODED TO TIA/EIA-568 STANDARDS, COLOR CODE T568B."
84,15037,YELLOW WIRE/CABLE 2.5 SQMM
85,15046,CONDUCTOR END SLEEVE
86,15048,RED MULTI-STANDARD HOOK-UP WIRE
87,15050,CABLE LUG SUITABLE CRIMP-INSERT: PEW 12.1071 FOR CROSS-SECTION (MIN./MAX.: 2.5MM<POW2> - 6MM<POW2> ELECTROLYTIC COPPER TIN-PLATED
88,15051,SMPS 24 V/20 A STABILIZED POWER SUPPLY INPUT: 100-240 V AC OUTPUT: 24 V DC/20 A
89,15052,ANTENNA
90,15053,PRE FAB CABLE-1MSHIELDED
91,15055,CONNECTOR- FEMALE38MM
92,15056,ANTENNA CABLE
93,15057,ANTENNA CABLE
94,15058,ANTENNA CABLE
95,15059,HOUSING-1 CABLE OUTLET M1
96,15060,CABLE GLAND- POLYAMIDE CABLE M25
97,15061,SOCKET
98,15062,DC DC CONVERTER
99,15065,FIXED BRIDGE
100,15066,INSTALLATION TERMINAL BLOCK
101,15068,RELAY MODULE
102,15069,CABLE ENTRY PLATE
103,15070,TERMINATION BLOCK
104,15071,FIXED BRIDGE
105,15072,LUGS
106,15074,WIRELESS MODULE
107,15076,RED INDICATOR LIGHT
108,15077,YELLOW INDICATOR LIGHT
109,15078,"INDICATOR LIGHT COMPACT, WITH LED, 220/240 V AC 50/60 HZ, BLUE"
110,15079,IWLAN ACCESS POINT
111,15080,CONNECTOR
112,15081,TERMINATOR
113,15082,ROLLER DIFFUSIVE SENSOR
114,15084,LED STRIP LIGHT
115,15085,RECEPTACLE
116,15087,RECEPTACLE
117,15090,0469920210 CONN RCPT HSG 2POS BLACK
118,15092,CONNECTOR
119,15096,CRIMPS
120,15097,LUGS
121,15099,0430300007 CONN SOCKET 20-24AWG CRIMP TIN
122,15100,"PLUG,5X2,10 CIRCUITS,BLACK"
123,15101,"RECEPTACLE,5X2,10 CIRCUITS,BLACK"
124,15102,"QUICK DISCONNECT, FEMALE, FOR 18-22"
125,15108,"CRIMP,MALE,18-24 AWG"
126,15109,CONNECTOR
127,15113,CONNECTOR
128,15116,NETWORK CABLE
129,15117,UNIVERSAL CONNECTOR PLUG
130,15118,UNIVERSAL CONNECTOR SOCKET
131,15121,SAFETY RELAYS
132,15123,"FIXED BRIDGE, PITCH: 8 MM, COLOR: SILVER, POS: 10"
133,15124,"DEVICE CONNECTOR, REAR MOUNTING"
134,15127,PANEL FEED THROUGH FRONT MOUNTING
135,15128,"DEVICE CONNECTOR, REAR MOUNTING"
136,15129,IWLAN ANTENNA
137,15130,"DEVICE CONNECTOR, REAR MOUNTING"
138,15131,HOSE CLAMP
139,15133,WI-FI CLIENT
140,15134,ANTENNA CABLE
141,15135,DEVICE CONNECTOR
142,15136,CABLE CONNECTOR
143,15137,RELAYS
144,15138,ANTENNA CABLE
145,15139,ANTENNA ADAPTER
146,15140,INDUSTRIAL ETHERNET SWITCH
147,15141,"CRIMP CONTACT, TURNED, SINGLE CONTACT, CONTACT DIAMETER: 2 MM, CRIMP RANGE: 2.5 MM2 ... 4 MM2, ALTERNATIVE PRODUCT IN ACCORDANCE WITH ROHS II WITHOUT EXEMPTION 6C (PB <0.1%) 1238180"
148,15142,ANTENNA CABLE
149,15143,ANTENNA CABLE
