,SUPPLIER_CODE,ITEM_CODE,PART_DESCRIPTION,ITEM_NAME,SUPPLIER_NAME,PRICE_mean,PRICE_min,PRICE_max,DAYS_TAKEN_TO_DELIVER_mean,DAYS_TAKEN_TO_DELIVER_min,DAYS_TAKEN_TO_DELIVER_max,FAULTED_PARTS_RATE_mean,FAULTED_PARTS_RATE_min,FAULTED_PARTS_RATE_max,CERTIFICATIONS
0,VD101149,KUD1577,6-axis robotic arm,Robotic Arm,KUDAMM CORPORATION,3912.7989743589746,3160.76,4634.45,49.30769230769231,5,96,0.04335649721053094,0.0,1.0,"['Australia', 'Europe', 'Asia', 'Canada', 'US', 'India']"
1,VD101149,KUD1784,High-precision 10K resistor,Resistor,KUDAMM CORPORATION,1789.7765625,1462.33,2180.79,55.125,4,100,0.038319191843901146,0.0,1.0,"['India', 'Australia']"
2,VD101149,KUD2726,RTD temperature sensor,Temperature Sensor,KUDAMM CORPORATION,4143.314107142857,3347.89,4966.13,52.642857142857146,5,100,0.03703450977220802,0.0,1.0,['Asia']
3,VD101149,KUD4331,Industrial control cabinet with locks,Control Cabinet,KUDAMM CORPORATION,4867.812923076924,4062.61,5961.11,52.784615384615385,5,98,0.04340444652239105,0.0,1.0,['Global Certification']
4,VD101149,KUD4388,High-speed servo motor driver,Servo Motor Driver,KUDAMM CORPORATION,2838.7277777777776,2274.86,3341.26,51.42857142857143,5,100,0.023120978667618558,0.0,0.1,"['Asia', 'Canada', 'Europe', 'US', 'Australia']"
5,VD101149,KUD5344,24V DC power supply,Power Supply,KUDAMM CORPORATION,4923.028717948718,3889.64,5714.25,42.743589743589745,4,90,0.037521852069920564,0.0,1.0,['US']
6,VD101149,KUD5455,Modular PLC for automation,PLC Controller,KUDAMM CORPORATION,924.0778181818182,741.91,1104.16,51.10909090909091,3,100,0.03503024571400593,0.0,1.0,"['Europe', 'Australia']"
7,VD101149,KUD6706,SPDT relay switch for automation,10A Relay Switch,KUDAMM CORPORATION,1229.8209090909093,1008.53,1468.91,60.54545454545455,15,99,0.05391959412647969,0.0,1.0,"['US', 'Canada', 'Europe', 'India', 'Australia', 'Asia']"
8,VD101149,KUD6868,Pneumatic gripper for robotic arms,Gripper,KUDAMM CORPORATION,538.0916279069767,429.5,631.82,56.48837209302326,3,96,0.05961294792171056,0.0,1.0,"['Europe', 'Australia', 'India', 'Canada', 'Asia', 'US']"
9,VD101149,KUD7607,Compact DC motor with high torque,12V DC Motor,KUDAMM CORPORATION,3881.918125,3230.05,4786.29,51.416666666666664,4,100,0.05905899191503655,0.0,1.0,['Global Certification']
